strong	domain_type	domain	label	count	share
G0362	sdbg	085003	Remain, Stay	1	1.000
G0363	sdbg	029002	Recalling from Memory	6	1.000
G0364	sdbg	029002	Recalling from Memory	4	1.000
G0365	sdbg	058011	New, Old [primarily non-temporal]	1	1.000
G0366	sdbg	030001	To Think, Thought	1	1.000
G0367	sdbg	093001	Persons	11	1.000
G0368	sdbg	033052	Oppose, Contradict	1	1.000
G0369	sdbg	033052	Oppose, Contradict	1	1.000
G0370	sdbg	065002	Worthy, Not Worthy	1	1.000
G0371	sdbg	065002	Worthy, Not Worthy	1	0.500
G0372	sdbg	023006	Tire, Rest	3	0.500
G0372	sdbg	022005	Relief from Trouble	2	0.333
G0373	sdbg	023006	Tire, Rest	11	0.917
G0374	sdbg	033028	Urge, Persuade	1	1.000
G0375	sdbg	015004	Leave, Depart, Flee, Escape, Send	5	1.000
G0376	sdbg	023009	Sickness, Disease, Weakness	2	1.000
G0377	sdbg	017006	Recline [to eat]	12	1.000
G0378	sdbg	057008	Give	2	0.286
G0379	sdbg	033049	Defend, Excuse	2	1.000
G0381	sdbg	014008	Burning	2	1.000
G0382	sdbg	060001	Number, Countless	1	1.000
G0383	sdbg	039008	Riot	2	1.000
G0384	sdbg	025021	Worry, Anxiety, Distress, Peace	1	1.000
G0385	sdbg	015025	Pull, Draw, Drag	2	1.000
G0386	sdbg	023007	Live, Die	41	0.953
G0387	sdbg	039007	Rebellion	3	1.000
G0388	sdbg	020004	Kill	1	1.000
G0389	sdbg	025012	Laugh, Cry, Groan	1	1.000
G0390	sdbg	041001	Behavior, Conduct	7	0.778
G0390	sdbg	015007	Return	2	0.222
G0391	sdbg	041001	Behavior, Conduct	13	1.000
G0392	sdbg	062002	Organize [of events and states]	1	1.000
G0393	sdbg	015010	Come/Go Up, Ascend	6	0.667
G0393	sdbg	014006	Light	2	0.222
G0394	sdbg	033010	Interpret, Mean, Explain	2	1.000
G0395	sdbg	082001	North, South, East, West	10	0.833
G0396	sdbg	031008	Change an Opinion Concerning Truth	2	0.667
G0397	sdbg	035006	Rear, Bring Up	2	0.667
G0398	sdbg	024001	See	2	1.000
G0399	sdbg	053002	Offering, Sacrifice	6	0.600
G0399	sdbg	015023	Lead, Bring, Take	2	0.200
G0399	sdbg	015024	Carry, Bear	2	0.200
G0400	sdbg	033006	Speak, Talk	1	1.000
G0401	sdbg	078001	Much, Little [Positive-Negative Degree]	1	1.000
G0402	sdbg	015004	Leave, Depart, Flee, Escape, Send	11	0.786
G0402	sdbg	015007	Return	3	0.214
G0403	sdbg	022005	Relief from Trouble	1	0.500
G0404	sdbg	025013	Encouragement, Consolation	1	1.000
G0405	sdbg	057015	Sell, Buy, Price	1	1.000
G0406	sdbg	093001	Persons	13	1.000
G0407	sdbg	025014	Courage, Boldness	1	1.000
G0408	sdbg	093001	Persons	1	1.000
G0409	sdbg	020004	Kill	1	1.000
G0410	sdbg	033048	Accuse, Blame	5	1.000
G0411	sdbg	033015	Inform, Announce	1	1.000
G0412	sdbg	033006	Speak, Talk	1	1.000
G0413	sdbg	013003	Exist	1	1.000
