# Direction verdicts for hierarchy_dag.tsv edges -- held-out weighted asymmetry
# (WeedsPrec + invCL), majority verdict across 5 TEST-book splits (seeds 13,17,23,29,31), never used to infer these edges. See
# direction_yardstick.py and internal-docs/phase-c-instrument-calibration-plan.md.
broader_strong	narrower_strong	source	verdict	n_confirmed	n_contradicted	n_undetermined	n_seeds
H5257	H3427	apposition	UNDETERMINED	0	0	5	5
H5278	H0430	apposition	UNDETERMINED	0	0	5	5
H5288	H0376	apposition	CONTRADICTED	0	5	0	5
H5288	H0430	apposition	CONTRADICTED	0	5	0	5
H5288	H1004	apposition	CONTRADICTED	0	4	1	5
H5288	H1121	apposition	CONTRADICTED	0	5	0	5
H5288	H4428	apposition	CONTRADICTED	0	4	1	5
H5288	H5030	apposition	UNDETERMINED	1	0	4	5
H5288	H5650	apposition	CONTRADICTED	0	5	0	5
H5315	H1121	apposition	CONTRADICTED	0	5	0	5
H5359	H8141	apposition	UNDETERMINED	0	0	5	5
H5360	H1964	apposition	UNDETERMINED	0	0	5	5
H5387	H0001	apposition	CONTRADICTED	0	5	0	5
H5387	H1004	apposition	CONTRADICTED	0	4	1	5
H5387	H1121	apposition	CONTRADICTED	0	5	0	5
H5387	H4150	apposition	UNDETERMINED	0	0	5	5
H5387	H7218	apposition	CONTRADICTED	0	5	0	5
H5411	H0802	apposition	UNDETERMINED	0	1	4	5
H5411	H1121	apposition	UNDETERMINED	0	1	4	5
H5411	H1323	apposition	UNDETERMINED	0	1	4	5
H5439	H1323	apposition	UNDETERMINED	0	1	4	5
H5439	H6430	apposition	CONTRADICTED	0	4	1	5
H5483	H5971	apposition	CONTRADICTED	0	3	2	5
H5566	H2145	apposition	UNDETERMINED	0	0	5	5
H5566	H5347	apposition	UNDETERMINED	0	0	5	5
H5566	H8403	apposition	UNDETERMINED	0	0	5	5
H5608	H6635	apposition	UNDETERMINED	0	2	3	5
H5608	H8269	apposition	UNDETERMINED	0	2	3	5
H5612	H0430	apposition	CONTRADICTED	0	5	0	5
H5612	H8451	apposition	CONTRADICTED	0	4	1	5
H5631	H0802	apposition	CONTRADICTED	0	3	2	5
H5631	H8104	apposition	UNDETERMINED	0	1	4	5
H5631	H8269	apposition	CONTRADICTED	0	3	2	5
H5632	H5461	apposition	UNDETERMINED	0	0	5	5
H5632	H6346	apposition	UNDETERMINED	0	0	5	5
H5650	H0001	apposition	CONTRADICTED	0	4	1	5
H5650	H0376	apposition	CONTRADICTED	0	4	1	5
H5650	H1004	apposition	CONTRADICTED	0	4	1	5
H5650	H1121	apposition	CONTRADICTED	0	5	0	5
H5650	H4428	apposition	CONTRADICTED	0	3	2	5
H5668	H0269	apposition	UNDETERMINED	0	0	5	5
H5668	H5650	apposition	UNDETERMINED	0	0	5	5
H5674	H4421	apposition	UNDETERMINED	0	0	5	5
H5676	H4217	apposition	UNDETERMINED	0	2	3	5
H5676	H8121	apposition	UNDETERMINED	0	0	5	5
H5680	H5650	apposition	CONTRADICTED	0	4	1	5
H5695	H1121	apposition	UNDETERMINED	0	2	3	5
H5695	H4541	apposition	UNDETERMINED	0	0	5	5
H5695	H8141	apposition	UNDETERMINED	0	2	3	5
H5713	H0001	apposition	CONTRADICTED	0	3	2	5
H5739	H1004	apposition	UNDETERMINED	0	1	4	5
H5739	H1471	apposition	CONTRADICTED	0	3	2	5
H5739	H2416	apposition	UNDETERMINED	0	0	5	5
H5739	H3605	apposition	CONTRADICTED	0	3	2	5
H5869	H0430	apposition	CONTRADICTED	0	5	0	5
H5869	H1121	apposition	CONTRADICTED	0	5	0	5
H5892	H0001	apposition	UNDETERMINED	0	2	3	5
H5892	H0376	apposition	CONTRADICTED	0	5	0	5
H5892	H0430	apposition	CONTRADICTED	0	3	2	5
H5892	H1004	apposition	UNDETERMINED	0	2	3	5
H5892	H3605	apposition	CONTRADICTED	0	5	0	5
H5895	H1121	apposition	UNDETERMINED	0	0	5	5
H5930	H1320	apposition	UNDETERMINED	1	1	3	5
H5930	H1818	apposition	UNDETERMINED	1	1	3	5
H5945	H0776	apposition	CONTRADICTED	0	3	2	5
H5945	H8064	apposition	CONTRADICTED	0	3	2	5
H5971	H3605	apposition	CONTRADICTED	0	4	1	5
H6038	H3374	apposition	UNDETERMINED	0	0	5	5
H6160	H3220	apposition	CONTRADICTED	0	3	2	5
H6231	H1323	apposition	UNDETERMINED	0	0	5	5
H6231	H1330	apposition	UNDETERMINED	0	0	5	5
H6363	H1060	apposition	UNDETERMINED	0	2	3	5
H6363	H3605	apposition	UNDETERMINED	0	2	3	5
H6382	H0001	apposition	UNDETERMINED	0	0	5	5
H6382	H0413	apposition	UNDETERMINED	0	0	5	5
H6382	H1368	apposition	UNDETERMINED	0	0	5	5
H6382	H5704	apposition	UNDETERMINED	0	0	5	5
H6382	H7965	apposition	UNDETERMINED	0	0	5	5
H6382	H8269	apposition	UNDETERMINED	0	0	5	5
H6389	H4325	apposition	UNDETERMINED	0	0	5	5
H6440	H0430	apposition	CONTRADICTED	0	4	1	5
H6440	H0776	apposition	UNDETERMINED	0	2	3	5
H6440	H1121	apposition	CONTRADICTED	0	5	0	5
