# BHSA clause-level dependency (candidate #6, never built before 2026-08-15): dependent_ref depends on mother_ref via `rela`. Discourse structure, not a word-pair signal -- see build_hierarchy_relations.py.
dependent_ref	mother_ref	rela
Genesis 27:45	Genesis 27:44	Adju
Genesis 27:45	Genesis 27:45	Coor
Genesis 27:45	Genesis 27:45	Objc
Genesis 28:4	Genesis 28:4	Adju
Genesis 28:4	Genesis 28:4	Attr
Genesis 28:6	Genesis 28:6	Objc
Genesis 28:6	Genesis 28:6	Coor
Genesis 28:6	Genesis 28:6	Adju
Genesis 28:6	Genesis 28:6	Adju
Genesis 28:6	Genesis 28:6	Adju
Genesis 28:8	Genesis 28:8	Objc
Genesis 28:13	Genesis 28:13	Attr
Genesis 28:13	Genesis 28:13	Resu
