# Directional BHSA apposition: head -> appositive (candidate IS-A / narrowing evidence). See build_hierarchy_relations.py.
head_strong	appositive_strong	count
H1501	H2428	1
H1501	H1419	1
H5674	H7725	1
H5674	H4421	1
H5695	H1121	1
H5695	H8141	1
H3778	H1471	1
H3778	H4751	1
H5739	H3605	1
H5739	H2416	1
H5739	H1471	1
H2195	H3605	1
H2195	H2740	1
H2195	H0639	1
H7307	H6346	1
H7307	H3548	1
H7307	H1419	1
H5650	H6780	1
H7218	H3548	1
H7218	H1419	1
H6635	H1964	1
H5895	H1121	1
H5739	H1004	1
H4731	H5278	1
H0430	H4397	1
H8451	H5650	1
H8064	H4639	1
H8064	H0676	1
H0430	H2416	1
H5892	H4908	1
H5892	H5945	1
H0430	H6918	1
H0430	H4908	1
H5159	H1347	1
H0430	H2022	1
H0430	H6944	1
H5892	H0430	1
H6635	H5892	1
H0430	H8668	1
H6697	H4268	1
H5797	H4268	1
H2898	H6918	1
H2898	H1964	1
H1004	H6918	1
H7892	H4210	1
H1979	H4428	1
H0413	H4428	1
H7794	H6499	1
H8605	H1121	1
H5159	H2022	1
H0430	H5797	1
H6635	H4428	1
H2491	H7901	1
H2491	H6913	1
H5278	H0430	1
H4268	H0430	1
H6440	H0113	1
H6440	H3605	1
H6440	H0776	1
H3605	H8334	1
H6635	H8334	1
H2233	H5650	1
H0413	H3467	1
H6963	H8469	1
H5650	H1121	1
H5650	H0519	1
H5668	H5650	1
H1004	H2691	1
H1121	H5971	1
H1121	H7138	1
H6662	H8549	1
H0120	H3205	1
H0120	H0802	1
H0639	H1121	1
H4397	H3887	1
H4397	H0259	1
H6038	H3374	1
H4093	H0376	1
H7474	H3303	1
H3196	H6071	1
H3196	H7416	1
H7544	H6071	1
H7544	H7416	1
H6953	H1121	1
H3476	H1697	1
H3476	H0571	1
H7307	H4899	1
H0639	H4899	1
H2428	H4082	1
H2450	H3045	1
H2450	H6256	1
H5631	H6370	1
H4428	H6370	1
H1323	H1730	1
H3064	H5971	1
H7323	H7392	1
H7323	H7409	1
H7323	H0327	1
H2748	H0825	1
H4405	H7843	1
H1397	H2428	1
H4756	H4428	1
H2445	H0825	1
H3605	H5461	1
H3605	H1907	1
H3605	H6346	1
H5632	H5461	1
H5632	H1907	1
H5632	H6346	1
H4437	H5461	1
H4437	H1907	1
H4437	H6346	1
H4899	H5057	1
H4720	H4581	1
H7307	H4428	1
H3027	H1489	1
H1323	H1569	1
H8451	H0376	1
H7558	H4428	1
H7605	H3548	1
H7605	H3878	1
H5650	H0606	1
H5650	H5676	1
H5650	H5104	1
H6924	H5608	1
H1247	H5030	1
H4428	H3778	1
H5016	H5030	1
H4437	H4428	1
H1121	H7218	1
H3701	H8641	1
H3701	H1004	1
H3701	H0430	1
H2091	H8641	1
H2091	H1004	1
H2091	H0430	1
H3627	H8641	1
H3627	H1004	1
H1121	H5650	1
H5892	H1004	1
H5892	H6913	1
H3548	H0376	1
H3548	H3603	1
H0251	H3064	1
H1471	H0341	1
H5612	H8451	1
H5612	H0430	1
H0430	H1419	1
H0430	H1368	1
H0430	H3372	1
H7605	H0802	1
H7605	H1121	1
H7605	H1323	1
H5971	H1323	1
H3548	H0802	1
H3548	H1323	1
H3878	H1323	1
H7778	H0802	1
H7778	H1121	1
H7778	H1323	1
H7891	H0802	1
H7891	H1323	1
H5411	H0802	1
H5411	H1121	1
H5411	H1323	1
H3605	H0802	1
