hebrew_strong	greek_strong	count
H2399	G0599	4
H2400	G0268	3
H2403	G0266	98
H2403	G1510	11
H2403	G3956	10
H2403	G0264	9
H2416	G2198	76
H2416	G2222	46
H2416	G3956	15
H2416	G2962	14
H2420	G2992	3
H2421	G2198	79
H2421	G0935	9
H2421	G0599	8
H2421	G2222	7
H2423	G2342	3
H2425	G2198	11
H2426	G1411	3
H2428	G1411	30
H2428	G1415	10
H2428	G2479	9
H2428	G0435	6
H2435	G1857	9
H2436	G2859	7
H2438	G0649	3
H2441	G2995	6
H2445	G3956	3
H2449	G4680	10
H2450	G4680	31
H2450	G3956	5
H2450	G1510	5
H2450	G4908	4
H2451	G4678	48
H2451	G4907	4
H2451	G3956	4
H2451	G5428	4
H2457	G2447	3
H2459	G3956	9
H2459	G4014	7
H2459	G2836	6
H2459	G2379	4
H2461	G1051	8
H2461	G3192	7
H2461	G3384	3
H2470	G5207	3
H2470	G0444	3
H2470	G1478	3
H2471	G0740	4
H2472	G1798	16
H2472	G2036	3
H2472	G4793	3
H2472	G1510	3
H2474	G2376	11
H2474	G3372	3
H2483	G3119	4
H2486	G2036	4
H2486	G2962	3
H2487	G4749	4
H2490	G0757	20
H2490	G0953	18
H2490	G3392	5
H2490	G1093	4
H2491	G3319	7
H2491	G4183	4
H2491	G4098	4
H2491	G3162	4
H2492	G1797	5
H2492	G3708	5
H2492	G1798	3
H2492	G1492	3
H2497	G5207	4
H2505	G3307	7
H2505	G1266	7
H2505	G1244	4
H2506	G3310	12
H2506	G2819	4
H2506	G1510	3
H2506	G3319	3
H2513	G3310	7
H2518	G5207	6
H2518	G2409	5
H2518	G0314	3
H2526	G4590	3
H2526	G5207	3
H2529	G3192	4
H2530	G1510	3
