# source=MACULA Quotation and Speaker Data, (c) 2023 by Clear Bible, Inc, CC-BY-4.0, https://github.com/Clear-Bible/speaker-quotations/
# anchor=verse range (START/END VS → BBCCCVVV); consensus (Clear-Aligned-Projections)
speaker	alt_speaker	start_bbcccvvv	end_bbcccvvv	quote_type	delivery	divine
Moses		2032018	2032018	Normal		
Moses		2032021	2032021	Normal		
Aaron		2032022	2032024	Normal		
Moses		2032026	2032027	Normal		
Moses		2032029	2032032	Normal		
God		2032033	2032034	Normal		Y
God		2033001	2033003	Normal		Y
God		2033005	2033005	Normal		Y
Moses		2033012	2033013	Normal		
God		2033014	2033014	Normal		Y
Moses		2033015	2033016	Normal		
God		2033017	2033017	Normal		Y
Moses		2033018	2033018	Normal		
God		2033019	2034003	Normal		Y
God		2034006	2034007	Normal		Y
Moses		2034009	2034009	Normal		
God		2034010	2034027	Normal		Y
Moses		2035001	2035019	Normal		
Moses		2035030	2036001	Normal		
craftsman		2036005	2036005	Normal		
Moses		2036006	2036006	Normal		
God		2040002	2040015	Normal		Y
God		3001002	3003017	Implicit		Y
God		3004002	3005013	Implicit		Y
God		3005015	3005019	Implicit		Y
God		3006002	3006007	Implicit		Y
God		3006009	3006018	Implicit		Y
God		3006020	3006023	Implicit		Y
God		3006025	3007021	Implicit		Y
God		3007023	3007027	Implicit		Y
God		3007029	3007034	Implicit		Y
God		3008002	3008003	Implicit		Y
Moses		3008005	3008005	Normal		
Moses		3008031	3008035	Normal		
Moses		3009002	3009004	Normal		
Moses		3009006	3009007	Normal		
Moses		3010003	3010004	Normal		
Moses		3010006	3010007	Normal		
God		3010009	3010011	Normal		Y
Moses		3010012	3010015	Normal		
Moses		3010017	3010018	Normal		
Aaron		3010019	3010019	Normal		
God		3011002	3011045	Implicit		Y
God		3012002	3012008	Implicit		Y
God		3013002	3013058	Implicit		Y
God		3014002	3014030	Implicit		Y
God		3014034	3014053	Implicit		Y
God		3015002	3015031	Implicit		Y
God		3016002	3016034	Normal		Y
God		3017002	3017016	Implicit		Y
God		3018002	3018030	Implicit		Y
God		3019002	3019037	Implicit		Y
God		3020002	3021015	Implicit		Y
God		3021017	3021023	Implicit		Y
God		3022002	3022016	Implicit		Y
God		3022018	3022025	Implicit		Y
God		3022027	3022033	Implicit		Y
God		3023002	3023008	Implicit		Y
God		3023010	3023022	Implicit		Y
